Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Dominica,0.799250373,-0.843826985,0.141816226,0.296252889,0.989191119,1.504623539,-0.727116413,1.48319445,7.780615252,4.22769325
Dominican Rep.,2.998642261,0.836746347,1.614166072,3.279556947,3.56443426,1.81060377,3.781031799,8.24300348,8.811092093,4.78561281
Ecuador,3.589220166,3.966646233,1.728264633,0.417335589,-0.224103246,0.266012515,-0.338872393,0.133251386,3.466169722,2.215687642
"Egypt, Arab Rep. of",10.07021547,10.37049034,13.81360621,29.50660839,14.40146578,9.152799593,5.04493289,5.214049405,13.89566098,33.88477631
El Salvador,1.141344675,-0.731384487,0.604049087,1.012354033,1.090330006,0.075324135,-0.371590212,3.466925853,7.198616156,4.045546942
"Equatorial Guinea, Rep. of",4.309998661,1.676630853,1.411939155,0.744354747,1.060074107,1.53027529,4.766695239,-0.097100766,4.786717047,
"Estonia, Rep. of",-0.106175147,-0.492326007,0.148684908,3.417235495,3.436326884,2.277259312,-0.444531098,4.653166738,19.39826341,9.15922508
"Eswatini, Kingdom of",5.681348858,4.951244937,7.847274591,6.221375289,4.815061675,2.598016203,,,,
"Ethiopia, The Federal Dem. Rep. of",6.890019516,9.56889956,6.628133372,10.68711503,13.83303566,15.80963217,20.35634686,26.83952216,33.88987971,30.21882781
"Fiji, Rep. of",0.519306475,1.374885426,3.863225382,3.347578348,4.081476376,1.773101825,-2.595243259,0.155855722,4.520192664,2.148174406
Finland,1.041196212,-0.20792884,0.356684501,0.754015047,1.083820984,1.02409393,0.290554556,2.194574323,7.123507733,6.250643222
France,0.507758823,0.037514381,0.183334861,1.032282751,1.850815083,1.108254923,0.476498853,1.64233141,5.222367484,4.878357265
Gabon,4.690457518,-0.338795189,2.106707128,2.651925831,4.749066521,2.464567562,1.352761107,1.086907465,4.231247983,3.629015342
"Gambia, The",5.947999357,6.808454946,7.228792721,8.034189745,6.520968239,7.115676256,5.931276366,7.370347589,11.51311984,16.97421296
Georgia,3.068812104,4.003578207,2.134927139,6.035317253,2.615244714,4.852898217,5.20246489,9.566914338,11.89816542,2.487760566
Germany,0.906794,0.514426137,0.491747008,1.509494851,1.732168798,1.445659769,0.144877926,3.066666667,6.872574386,5.946436677
Ghana,15.48961603,17.1499695,17.45463471,12.37192155,7.808765166,7.143640033,9.887289563,9.971088675,31.2558951,38.10696563
Greece,-1.312260964,-1.735888048,-0.825653978,1.12125452,0.625621413,0.253007522,-1.247983556,1.22382501,9.645259813,3.464801285
Grenada,-0.983603056,-0.515448031,1.650389944,0.908458256,0.804102313,0.598149765,-0.740732597,1.219511939,2.580539259,2.696122698
Guadeloupe,0.353122746,0.299223523,-0.094165882,,,,,,,
Guatemala,3.418361697,2.388720328,4.448441999,4.424536552,3.751861867,3.69998398,3.214440622,4.261051274,6.885128233,
Guinea,6.150505567,11.7800825,8.172681123,8.914359479,9.827617013,9.470010393,10.60162034,12.59728826,10.493041,7.804975919
