Country Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Denmark,99.55,100,100.25,101.4,102.225,103,103.4333333,105.35,113.4583333,117.2083333
Djibouti,87.08563038,86.34767569,88.71223088,89.21621581,89.3482298,92.31392425,93.95471918,95.06518668,99.98938128,101.4842907
Dominica,103.1151132,102.245,102.39,102.6933333,103.7091667,105.2695992,104.5041667,106.0541667,114.3058333,119.1383333
Dominican Republic,87.00481804,87.73282768,89.14898121,92.07267282,95.35454271,97.08103566,100.7517005,109.0566667,118.66575,124.3446333
Ecuador,99.28220696,103.2203809,105.0043022,105.4425225,105.2062224,105.4860841,105.1286209,105.2687063,108.9174983,111.3307698
"Egypt, Arab Rep. of",50.6253961,55.87549792,63.59391917,82.35832786,94.21913427,102.8428228,108.0311742,113.663973,129.4583333,173.325
El Salvador,110.1791667,109.3733333,110.034002,111.1479356,112.3598149,112.444449,112.0266164,115.9104961,124.2544478,129.2812198
"Equatorial Guinea, Rep. of",129.8833333,132.0609974,133.9256183,134.9225,136.3527785,138.4393514,145.0383333,144.8975,151.8333333,
"Estonia, Rep. of",196.0083333,195.0433333,195.3333333,202.0083333,208.95,213.7083333,212.7583333,222.6583333,265.8501833,290.2
"Ethiopia, The Federal Dem. Rep. of",84.38321096,92.45775566,98.58597902,109.121976,124.2168578,143.8550862,173.1387265,219.6083333,294.0333333,382.88676
"Fiji, Rep. of",100.0083333,101.3833333,105.3,108.825,113.2666667,115.275,112.2833333,112.4583333,117.5416667,120.0666667
Finland,100.2033517,99.995,100.3516667,101.1083333,102.2041667,103.2508333,103.5508333,105.8233333,113.3616667,120.4475
France,99.96166667,99.99916667,100.1825,101.2166667,103.09,104.2325,104.7291667,106.4491667,112.0083333,117.4725
Gabon,89.86191216,89.55746432,91.44417781,93.86920958,98.32712079,100.7504591,102.1133721,103.22325,107.5908817,111.4953713
"Gambia, The",68.49303348,73.15635081,78.44467177,84.74706554,90.27339477,96.69695729,102.4323211,109.9819392,122.6442916,143.4621949
Georgia,110.25075,114.664725,117.1127333,124.1808583,127.4284917,133.6124667,140.5636083,154.0112083,172.3357167,176.6230167
Germany,94.36566917,94.85111083,95.31753833,96.75635167,98.432335,99.85533167,100,103.0666667,110.15,116.7
Ghana,46.94604893,54.99728201,64.59685668,72.58872912,78.25701251,83.84741178,92.13764818,101.3247748,132.9947401,183.675
Greece,101.8617917,100.093585,99.26715833,100.3801958,101.0081958,101.2637542,99.99999917,101.2238242,110.987125,114.8326083
Grenada,108.1583333,107.6008333,109.3766667,110.370308,111.2577982,111.9232865,111.0942342,112.4490417,115.3508333,118.4608333
Guatemala,116.7291667,119.5175,124.8341667,130.3575,135.2483333,140.2525,144.7608333,150.9291667,161.3208333,165.1383333
Guinea,63.15767272,70.59769867,76.36742347,83.17509012,91.34921943,100,110.6016203,124.5344253,137.6018736,148.3416667
Guinea-Bissau,99.31204874,100.7786101,102.2934341,104.0233333,104.42,104.6775,105.8708333,108.2449749,118.4133333,
